"2026-01-02 17:52:51","AXSM","178.69","9","$4.2B","6.62","168.77","198.54","FDA acceptance of sNDA for AXS-05 (Alzheimer's Agitation) with Priority Review accelerates commercial timeline to April 2026, significantly de-risking the asset.","OPEN"
"2026-01-02 17:52:53","CORT","38.2","8","$4.8B","6.38","28.63","57.33","FDA approval of Relacorilant for hypercortisolism solidifies Corcept's endocrinology franchise and removes a major overhang.","OPEN"
"2026-01-02 17:52:54","VNDA","8.25","7","$521M","0.61","7.33","10.08","Approval of Tradipitant for motion sickness creates a new niche revenue stream, validating the pipeline after previous setbacks.","OPEN"
"2026-01-02 19:44:04","XERS","7.35","8","$1.23B","0.34","6.83","8.38","Competitor Corcept Therapeutics received an FDA Complete Response Letter (CRL) for Relacorilant on Dec 31, 2025, removing the primary near-term threat to Xeris's Recorlev franchise in Cushing's syndrome. The stock's Jan 2 pullback (-6.8%) erases the initial reaction, offering an attractive entry for a monopoly-extension play.","OPEN"
"2026-01-04 08:25:23","UA","5.07","9","$2.15B","0.19","4.79","5.63","Prem Watsa (Fairfax Financial), known as the 'Canadian Buffett', executed a massive insider accumulation of ~13.18 million shares (~$67.4M) on Jan 2, 2026. This purchase represents nearly 3% of the entire market cap in a single day, signaling extreme value conviction at multi-year lows.","OPEN"
"2026-01-05 08:36:15","UA","5.07","8","$2.16B","0.19","4.79","5.63","Major insider conviction play; 10% owner V. Prem Watsa (Fairfax Financial) purchased ~$67M worth of stock, signaling a strong bottom/turnaround thesis despite recent retail headwinds.","OPEN"
"2026-01-06 08:32:31","AQST","6.23","9","$787M","0.3","5.78","7.13","Classic PDUFA run-up candidate with high volatility potential; approval would validate platform and drive significant rerating.","OPEN"
"2026-01-06 08:32:33","TVTX","38.11","8","$3.5B","2.27","34.71","44.91","High-conviction PDUFA run-up play with imminent FDA decision and JPM Healthcare Conference tailwinds.","OPEN"
"2026-01-06 08:32:34","VRDN","30.2","7","$3.0B","1.08","28.57","33.45","Dual catalyst setup: BLA acceptance confirms regulatory progress while Phase 3 data loom as a major repricing event.","OPEN"
"2026-01-08 08:35:07","CMC","73.22","8","$8.7B","1.55","70.89","77.88","Reported 'exceptional' Q1 2026 earnings with 52% YoY EBITDA growth and raised guidance, yet the stock has only reacted modestly (+2.4%), presenting a classic PEAD opportunity as analysts re-rate the infrastructure tailwinds.","OPEN"
"2026-01-09 08:32:58","KRYS","248.91","8","$7.2B","8.98","235.44","275.85","Positive interim Phase 1 data for KB407 validates the company's redosable gene therapy platform in Cystic Fibrosis, a major new indication. Despite analyst upgrades to $309 (Citigroup) and $272 (BofA), the stock has only moved ~1-2%, leaving the catalyst largely unpriced.","OPEN"
"2026-01-12 08:37:13","ADC","70.51","9","$6.5B","1.05","68.93","73.66","Executive Chairman's $1.7M open-market purchase signals high conviction in valuation floor and future growth.","OPEN"
"2026-01-12 08:37:15","CRNX","53.25","8","$5.2B","3.09","48.62","62.51","Goldman Sachs upgrade to Buy on Jan 12 creates a Tier 1 catalyst that the market has not yet priced in (0% intraday move).","OPEN"
